Driver,LapNumber,LapTime,TyreLife,Compound,PitOutTime
PER,11.0,0 days 00:01:25.107000,10.0,INTERMEDIATE,
PER,12.0,0 days 00:01:28.439000,11.0,INTERMEDIATE,
PER,13.0,0 days 00:01:38.175000,1.0,SOFT,0 days 01:20:06.441000
PER,14.0,0 days 00:01:16.876000,2.0,SOFT,
PER,15.0,0 days 00:01:17.081000,3.0,SOFT,
PER,16.0,0 days 00:01:25.780000,4.0,SOFT,
PER,17.0,0 days 00:02:01.049000,5.0,SOFT,
PER,18.0,0 days 00:02:08.368000,6.0,SOFT,
PER,19.0,0 days 00:01:59.275000,7.0,SOFT,
PER,20.0,0 days 00:01:56.001000,8.0,SOFT,
PER,21.0,0 days 00:02:06.927000,9.0,SOFT,
PER,22.0,0 days 00:01:16.989000,10.0,SOFT,
PER,23.0,0 days 00:01:16.451000,11.0,SOFT,
PER,24.0,0 days 00:01:15.800000,12.0,SOFT,
PER,25.0,0 days 00:01:16.175000,13.0,SOFT,
PER,26.0,0 days 00:01:16.380000,14.0,SOFT,
PER,27.0,0 days 00:01:15.959000,15.0,SOFT,
PER,28.0,0 days 00:01:15.777000,16.0,SOFT,
PER,29.0,0 days 00:01:15.629000,17.0,SOFT,
PER,30.0,0 days 00:01:15.576000,18.0,SOFT,
PER,31.0,0 days 00:01:15.697000,19.0,SOFT,
PER,32.0,0 days 00:01:15.764000,20.0,SOFT,
PER,33.0,0 days 00:01:15.615000,21.0,SOFT,
PER,34.0,0 days 00:01:15.377000,22.0,SOFT,
PER,35.0,0 days 00:01:15.517000,23.0,SOFT,
PER,36.0,0 days 00:01:15.782000,24.0,SOFT,
PER,37.0,0 days 00:01:15.609000,25.0,SOFT,
PER,38.0,0 days 00:01:15.440000,26.0,SOFT,
PER,39.0,0 days 00:01:15.461000,27.0,SOFT,
PER,40.0,0 days 00:01:15.676000,28.0,SOFT,
PER,41.0,0 days 00:01:15.546000,29.0,SOFT,
PER,42.0,0 days 00:01:15.822000,30.0,SOFT,
PER,43.0,0 days 00:01:15.776000,31.0,SOFT,
PER,44.0,0 days 00:01:15.722000,32.0,SOFT,
PER,45.0,0 days 00:01:18.655000,33.0,SOFT,
PER,46.0,0 days 00:01:33.107000,2.0,SOFT,0 days 02:06:17.470000
PER,47.0,0 days 00:01:14.318000,3.0,SOFT,
PER,48.0,0 days 00:01:14.867000,4.0,SOFT,
PER,49.0,0 days 00:01:14.847000,5.0,SOFT,
PER,50.0,0 days 00:01:14.714000,6.0,SOFT,
PER,51.0,0 days 00:01:14.702000,7.0,SOFT,
PER,52.0,0 days 00:01:14.658000,8.0,SOFT,
PER,53.0,0 days 00:01:14.715000,9.0,SOFT,
PER,54.0,0 days 00:01:15.006000,10.0,SOFT,
PER,55.0,0 days 00:01:15.161000,11.0,SOFT,
PER,56.0,0 days 00:01:14.656000,12.0,SOFT,
PER,57.0,0 days 00:01:14.315000,13.0,SOFT,
PER,58.0,0 days 00:01:14.313000,14.0,SOFT,
PER,59.0,0 days 00:01:14.231000,15.0,SOFT,
PER,60.0,0 days 00:01:18.349000,16.0,SOFT,
PER,61.0,0 days 00:01:49.850000,7.0,INTERMEDIATE,0 days 02:25:28.246000
PER,62.0,0 days 00:01:23.125000,8.0,INTERMEDIATE,
PER,63.0,0 days 00:01:50.512000,9.0,INTERMEDIATE,
PER,64.0,,7.0,INTERMEDIATE,0 days 03:11:05.760000
PER,65.0,,8.0,INTERMEDIATE,0 days 03:13:21.898000
PER,66.0,0 days 00:02:17.436000,9.0,INTERMEDIATE,
PER,67.0,0 days 00:01:26.386000,10.0,INTERMEDIATE,
PER,68.0,0 days 00:01:23.139000,11.0,INTERMEDIATE,
PER,69.0,0 days 00:01:22.210000,12.0,INTERMEDIATE,
