X,Y,Z,Speed,nGear,Distance,Throttle,Brake
-679.0,7409.0,1913.0,224.15001344,8,816.9772716859837,0.0,True
-664.4975645284477,7581.132001772867,1913.967056158394,200.0,8,829.2524999999999,0.0,True
-664.0,7587.0,1914.0,199.19000576,8,829.7219453875113,0.0,True
-655.5495843817278,7686.203602649655,1914.5359914219778,182.0,8,839.363611111111,0.0,True
-647.0,7777.0,1915.0,163.55278293333333,8,849.3237373831518,0.0,True
-640.7435396747211,7835.605446111827,1915.3112086483789,153.0,7,854.663611111111,0.0,True
-632.2800965234047,7908.360643441732,1915.7384892531095,145.0,5,861.1080555555554,0.0,True
-628.0,7941.0,1916.0,140.5500032,5,864.5271359719122,0.0,True
-619.8290434253372,7991.157380218133,1916.627831863883,131.0,3,871.2969444444444,0.0,True
-615.0,8014.0,1917.0,125.437504,3,874.1148031275982,0.0,True
-598.0,8080.0,1918.0,111.687504,3,880.2158170753061,0.0,True
-580.8515677051829,8125.933677056818,1918.0613439048518,101.0,2,884.763611111111,0.0,True
-573.0,8143.0,1918.0,99.56250133333333,2,886.6153071164933,0.0,True
-551.118785868995,8182.613733237939,1917.9298167487298,96.0,2,891.163611111111,0.0,True
-547.0,8189.0,1918.0,95.36363789569647,2,891.9103079748307,0.0,True
-516.0,8230.0,1919.0,90.95298187777166,2,896.8899095807609,0.0,True
-502.55233557581863,8245.079198589094,1919.073931398399,89.0,2,899.0499999999998,0.0,True
-478.0,8265.0,1919.0,87.38174390220586,2,902.1900555159029,0.0,True
-445.1878703949505,8282.151874813142,1919.3095928758626,86.0,2,904.8072222222221,0.0,False
-391.0,8304.0,1920.0,83.04250112,2,908.6022993312753,0.0,False
-354.41298951826974,8313.21633566169,1920.1248772725917,79.0,2,913.5849999999999,0.0,False
-329.0,8316.0,1920.0,78.57045469090909,2,917.6690426325318,5.154543709090909,False
-277.0,8327.0,1920.0,78.02272756363637,2,922.9003763045488,11.727269236363636,False
-274.991250767204,8327.546822964227,1919.9939133394566,78.0,2,923.1183333333332,12.0,False
-235.0,8345.0,1920.0,78.0,2,927.7115741555303,5.700003840000001,False
-192.0,8381.0,1921.0,78.0,2,931.5538813985812,0.33000192000000106,False
-189.91298066733978,8383.034752337988,1921.0421819109215,78.0,2,931.7849999999999,0.0,False
-168.39046026953875,8414.238459577367,1920.9449636071565,74.0,2,936.7183333333332,0.0,False
-163.0,8432.0,1921.0,73.1875008,2,939.3641418416881,0.8124992,False
-161.5707855909191,8436.900244651666,1921.081252866815,73.0,2,939.9627777777777,1.0,False
-150.0,8482.0,1922.0,69.71428754285714,2,944.3748162774068,4.285712457142857,False
-148.12999074088614,8492.425401712591,1922.0090397619313,69.0,2,945.3294444444443,5.0,False
-145.0,8515.0,1922.0,69.3406248,2,947.4298490485567,8.7468728,False
-142.0,8550.0,1923.0,69.9062496,2,950.9634014361819,14.9687456,False
-141.7386438946655,8555.806053560096,1923.10507505434,70.0,2,951.5516666666665,16.0,False
-142.0,8605.0,1923.0,71.5624992,2,956.5058308154975,18.3437488,False
